text,emotion
전화를 하지 않으면 모임 회비를 주지 않는 친구가 있어서 성가셔. 매번 말하는 것도 이젠 그만하고 싶어. 한 번에 다 달라고 해야겠어.,anger
친구 영찬이가 학교에서 두들겨 맞았어. 많이 다쳤더라고. 내가 도와줬어야 했는데.,sadness
새로운 직장에 들어갔는데 사람들이 참 좋은 것 같아. 먼저 말 걸어주고 모르는 거 물어봐도 친절하게 알려줘. 응. 연봉만이 아니라 회사 분위기도 정말 마음에 드네.,joy
친한 친구가 원하는 대학에 합격했어! 재수 중이라 걱정했는데 정말 잘됐어! 맞아. 어릴 때부터 알던 친구라 고생하는 게 무척 안쓰러워 보였거든. 오늘 축하한다고 얘기해주는 것이 좋을 것 같아!,joy
일주일 전에 면접을 봤는데 아직도 결과 연락이 안 와서 초조해. 마냥 기다리는 거지 뭐. 먼저 연락했다가 안 좋은 이미지가 생길까 봐 기다리는 중이야.,anxiety
겨울에 할머니 댁에 내려갔을 때 아빠가 군고구마를 만들어주셔서 좋았어. 아궁이에 구워주셨는데 신기하면서도 참 맛있어. 사 먹는 것보다 훨씬 맛있어.,joy
처음으로 수학 시험에서 백점을 맞았는데 집에 자랑할 사람이 없어. 말할 사람이 없어 슬퍼. 공부할 의욕이 나지 않는데 기분 전환을 할까 고민 중이야. 나가서 바깥 바람을 쐬며 산책할래.,depression
승진도 취업도 돈과 배경만 있으면 다 해결되는 세상이네. 돈 없는 사람은 승진도 취업도 불가능한 걸까? 노력은 날 배신하지 않겠지? 그렇게 믿고 싶어.,sadness
우리 아내는 나 이외에 다른 사람은 사랑하지 않을 거라고 자신해. 원래부터 남자에게 관심이 없는 사람인데 그래도 나는 사랑해 주는 것을 느낄 수 있어. 당연하지. 나는 아내만 사랑해.,joy
학교폭력 징계위원회에서 나를 가해자로 지목하고 강제전학 처분을 내렸어. 지금 있는 학교에서 내신이 잘 나오니까 전학 가기 싫다고 했더니 부모님도 학교 측에 선처를 요구해 보겠다고 하셔.,anger
곧 체육대회가 열리는데 난 하고 싶지 않아. 다들 내가 질 거라고 비웃어서 위축돼. 잘 할 수 있는 종목도 다들 질 거라고 부정적으로 이야기하니까 점점 자신감이 없어져. 평소에 꾸준히 연습하면 주변 상황에 휘둘리지 않고 실력을 발휘할 수 있겠지.,sadness
췌장암 말기라는 진단으로 현재로서는 항암 밖에는 의사의 말이 너무 싫어. 잠도 못 자고 먹는 것도 부실해서 점점 악화되는 듯 해. 모르겠어. 아무 것도 할 수 없을 것 같아.,sadness
입사 새내기지만 나는 우리 팀을 잘 이끌어 주시는 팀장님이 있어서 감사함을 느껴. 그 분이 보기와는 달리 실제로는 인간미 넘치고 주어진 업무는 엄청 깔끔하게 하셔. 응. 지금처럼만 관계가 유지 되었으면 좋겠어.,joy
이번엔 병이 나을 줄 알았는데 아니어서 실망이야. 내일 친구와 시간에 맞춰 운동할 생각이야.,sadness
좋은 성적을 내고 싶은데 아프니까 자주 쉬어야 하고. 공부도 제대로 못 하나 싶어서 슬퍼져. 어쩔 땐 갑자기 눈물이 막 나올 때도 있어. 남들은 다 하는 걸 난 못하니까 그냥 마음껏 울거나 잠을 자버리거나 그게 제일 좋은 것 같아.,depression
마라톤이 내 취미였는데 폐 쪽이 안 좋아지면서 전처럼 마라톤을 할 수 있을지 걱정돼. 대회도 나가서 상도 타고 동호회도 했었는데 그리워. 아직 뛰는 건 무리고 조금씩 산책하면서 괜찮아지면 다시 운동을 시작할 거야.,anxiety
선생님께서 내가 학교 폭력의 주범인 것을 아셔서 불안해. 선생님께서 어떻게 아셨을지 당혹스럽기도 하고 소년원에 갈까 봐 불안해. 선생님께 사실대로 말씀드리고 괴롭혔던 친구에게 사과해야 할 것 같아.,anxiety
더 이상 직급 승진도 안 돼서 돈도 안 나오고 하도 스트레스받았더니 우울증도 심해졌어. 마음 같아서는 다 놓고 싶어. 일도 내 자식만 아니면 다 관두고 싶어. 그래도 막내 졸업하기까지 삼 년은 버티고 일 관두고 내가 하고 싶은 것들 즐기면서 살 거야.,depression
수술 끝나고 회복 기간 필요했는데 병원비가 너무 많이 나와서 그냥 퇴원하기로 했어. 모아뒀던 돈도 다 쓰고 앞으로가 막막해. 집에서 막내딸이 같이 있어 준다고 하니 그나마 마음이 좀 놓여.,anxiety
신경질 나 죽겠어. 덥기도 더운데 아주 막 짜증이 나네. 애가 코로나 때문에 학교에 안 가고 원격 수업을 하거든. 근데 컴퓨터 게임만 하는 거야. 개학을 해서 아이가 학교에 나갔으면 좋겠어. 아이가 집에만 있으니 더 게을러진 것 같아.,anxiety
아침에 허락도 없이 엄마 지갑에 손댔다가 혼났어. 그대로 집을 나왔는데 또 혼날 것 같아. 다시 집에 가봤자 혼만 더 날 것 같은데 오늘 친구네서 자야 할지 고민 중이야. 내가 잘못한 거니까 지금 들어가서 엄마한테 용서를 구하는 게 가장 좋은 방법인 것 같아.,anxiety
노년에 연애라는 걸 하니 기분이 아주 새로워. 응. 다시 젊어지는 것 같고 좋아. 남편 먼저 보내고 수십 년을 외롭게 보내다가 새로운 사람을 만나니까 무척 설레.,joy
아들이 남들과 다르게 건강하게 태어나지 못해 너무 속상해. 다 내 탓인 것 같고 아들에게 미안한 마음이 커. 아들과 시간을 많이 보내고 옆에서 힘이 되어주고 싶어.,sadness
우리가 매일 함께 하던 경로당이 화재로 인해 문을 닫아서 머리가 마비될 것 같아. 많은 추억이 담겨있는 장소를 더 이상 다닐 수 없다는 사실이 많이 슬퍼. 우리가 함께 할 수 있는 다른 곳을 알아봐야겠어.,sadness
이 나이가 되니 가족들 건강이 제일 중요한 것 같아. 집사람이 조금만 아프다 하면 가슴이 철렁하고 겁이 나. 서로가 건강하게 살다가 같이 가야 하는데 누구 한 사람이 아파서 돌봐야 한다면 얼마나 슬프겠어.,sadness
상사가 시대에 뒤떨어진 발언들을 해! 그런 발언들은 무슨 생각에 말하는 건지 모르겠어. 그냥 무시하고 내 할 일만 하는 게 나을 것 같아.,anger
건강 검진 결과를 해도 큰 문제는 없다고 하는데 계속 여기저기 아픈 데가 생기는 게 뭔가 이상하다는 기분이 들어. 이러다가 갑자가 큰 병이 생길 수도 있으니 매일 걱정이 되는군.,anxiety
며칠 전에 우리 집에서 가스가 폭발하는 사고가 있었어. 하지만 그때 모두가 일을 나가서 아무도 다치지 않았어. 맞아. 앞으로는 가족들과 매번 가스를 잠그고 나가기로 약속했어.,joy
날 면접에서 떨어뜨린 회사에서 만드는 물건은 사지도 않을 거야. 정말 화가 나. 인재를 못 알아본 그 회사가 나쁜 거야. 분명 그 회사 물건도 좋지 못할 것 같아.,anger
중년의 다른 아줌마들에 비하면 정말 나는 건강한 편이라는 걸 알게 돼서 편안하네. 다들 병원에 치료받으러 가고 약을 달고 사는데 난 그런 증상이 하나도 없거든. 아마도 규칙적인 생활과 정기적인 검진이 중요할 거라고 생각해.,joy
어제 그 괴물 같은 애들이 상황을 교묘하게 몰고 가서 나를 곤경에 빠트렸어. 화가 나 응. 솔직히 말할 능력도 없고 그 애들과 상대하며 대적할 힘도 없어. 나는 사촌오빠가 있는 미국에 가서 공부하고 싶어.,anger
화이트데이 때 남자친구에게 비싼 선물을 받았어. 기쁘기도 한데 조금은 부담스럽기도 해. 그래야겠지? 기브 앤 테이크로 가야겠다.,joy
암만 열심히 공부해도 성적이 좋지 않아. 모르겠어. 현재 아무생각도 하고싶지 않아.,sadness
사위가 아들 못지않게 나를 챙겨주고 존중해줘서 너무 고마워. 어쩔 땐 아들보다도 더 나를 챙긴다니까. 내가 어디 아프다고 하면 바로 달려와서 병원에 데려다주는데 참 기특해.,joy
소득이 점점 줄어드는 상황에서 삶이 참 힘에 겹고 슬퍼. 맞아. 내가 정신적 장애까지 있는 상황에 소득까지 줄어드니 힘드네. 이대로 포기하기보다 주변에 도움을 요청해야겠어.,depression
남편이 남은 인생 자유롭게 살자며 이혼을 요구했어. 난 그 이혼이 매우 불만스러워. 남은 인생을 더 같이 살아야지 이제 자유를 찾는다는 게 이해가 안 돼. 남편과 깊은 대화를 통해 해결방안을 마련해야겠어.,anxiety
공부해도 소용 없어. 공부한다고 성공하는 게 아니거든.,sadness
상사에게 낸 서류에 잘못은 없을지 자꾸 조급한 마음이 들어. 글쎄. 이미 냈으니 돌이킬 수도 없잖아. 마음을 가볍게 먹어보려고.,anger
이번에 건강 검진 결과가 안 좋아서 걱정이야. 이 년 전만 해도 이러지 않았는데 말이야. 아무래도 스트레스를 많이 받고 식사를 불규칙적으로 해서 그런 것 같아.,sadness
이번에 회사에서 건강검진을 받았는데 결과가 안 좋아졌네. 지난번 검사 때보다 지방간 수치가 좀 더 올라갔어. 술을 끊으라는데 어떡하지? 사회생활 하면서 술 안 마시고 어떻게 스트레스를 풀어? 일하면서 건강 관리하기 성가시네.,anger
직장에서 내가 맡은 업무를 열심히 했는데 인정해 주지 않아서 실망스러워. 응. 스트레스가 심해지고 있어. 업무에 대한 의욕도 자꾸 떨어져. 응. 난 내 업무가 적성에 맞아서 계속 일은 하고 싶어. 그만두고 싶지는 않아.,depression
선생님이 나보고 교무실로 따라 오래. 혼날 것 같아. 갑자기 아프다 하고 보건실로 갈지 생각 중이야. 어차피 불려갈 텐데 그냥 수긍하고 교무실로 가야겠어.,anxiety
오늘 내 동생이 결혼했어. 엄마가 또 결혼하라고 이야기하겠구나! 생각 들더라고. 할 때 되면 할 거라고 대답할 것 같은데?,joy
우리 딸이 드디어 취직했어. 그것도 엄청난 대기업에 말이야. 우리 부부 딸 하나 보고 살았는데 이런 기쁜 날이 오네. 이젠 걱정이 없어.,joy
아내가 죽은 지 만 십 년이 지난 요즈음에도 나 자신에 대한 자책으로 괴로워. 너무나 착한 아내였는데 왜 그리 아내의 말을 듣지 않았는지. 아내는 나 때문에 화병으로 죽은 것 같아. 사실 수많은 나날을 밖으로만 돌아다녔거든. 생활은 돌보지 않고 일종의 방랑벽이었지. 나 같은 남편 없을 거야.,anger
장거리 연애는 불편함이 너무 많은 것 같아. 그러니까. 전화나 문자로 주고받으니 불편함이 이만저만이 아니야. 그냥 시간이 지나면 또 괜찮아지고 그러는 거라 특별한 해결책은 없는 것 같아. 이런 연애는 다시 못할 것 같아.,sadness
동호회에 가입했는데 고향에 온 듯 마음이 편안해. 취미가 맞아서인지 친구들보다도 말이 잘 통해. 지금처럼만 지내면 될 거 같아.,joy
언니가 유학 생활 중인데 아무래도 많이 외로운가 봐. 통화를 하면 우울한 목소리라 속상해. 해외에 있기 때문에 쉽게 만날 수도 없어서 더 힘든가 봐. 언니가 힘들어하니 나도 힘들어. 조금 더 자주 연락하고 얘기를 많이 해야겠어.,depression
나이가 드니 점점 주변 사람들도 떠나가는 것 같아 너무 외로워. 허탈해서 더 이상 어떤 노력도 하고 싶은 생각이 안 들어. 자식들과 전화를 한 번 해봐야겠어.,sadness
놀이 공원에 사람이 없어서 원하는 놀이기구를 마음껏 탈 수 있었어. 줄도 안 서고 바로 탔어. 당연하지. 좋아하는 놀이기구를 열 번이나 탈 수 있어서 행복했어.,joy
나 자신에게 실망했어. 내가 건강관리를 이렇게 못 했다니 말이야. 관리해야하는 데가 많아서 걱정이다.,sadness
나 드디어 떠나. 차곡차곡 모은 월차와 휴가를 가지고 제주도로 떠날 거야. 내가 이날을 위해 참고 일했지.,joy
요즘 성적이 많이 떨어졌더니 아빠가 나보고 공부도 못하는 팔푼이라고 했어. 정말 우울해. 아빠는 항상 말을 함부로 해서 속상해. 밖에 나가서 바람을 쐬며 스트레스를 풀어야겠어.,depression
지금 사귀는 남자친구는 나에게 큰 믿음을 줘. 장점이 정말 많은 사람인 것 같아. 나랑 한 약속은 꼭 지킨다는 점.,joy
친구가 어떤 애한테 머리를 맞았대서 화가 치밀었어. 그냥 앉아 있었는데 머리를 세게 치고 지나갔대. 정말 나쁜 애야. 그런 애는 똑같이 당해봐야 해. 마음 같아서는 나도 그 애 머리를 때려주고 싶어.,anger
학교에 불편한 사람이 없어서 너무 마음이 편하고 여유로워. 맞아. 친구들도 좋고 선후배 관계도 좋고 선생님들도 다 친절하셔. 우선 동아리 활동을 활발하게 해서 친구나 선배를 사귀어보려고 해.,joy
친구와 싸우게 됐어. 싸우고 난 뒤 기분이 너무 좋지 않았어. 친구에게 진정한 사과를 하는 게 좋겠어. 사과하고 대화를 하면서 함께 식사할 생각이야.,sadness
난 우리 누나가 진짜 멋진 거 같아! 그림을 진짜 잘 그리거든. 누나는 각종 대회를 다 휩쓸었어. 참가 했다 하면 기본이 최우수상이야! 나도 누나처럼 그림을 잘 그리고 싶어서 노력 중이야. 누나는 나의 우상이야.,joy
여태 자식 뒷바라지로 모아둔 돈이 없어. 걱정이라고 아들에게도 말해보려고. 아들도 알고 있어야 할 거 같아.,anxiety
요즘 사람들도 만나기 싫고 모든게 다 우울해. 그냥 사람들 만나는게 다 무의미 하다고 느껴져.,depression
지금도 병원치료를 계속 받는 중인데 사실 모르겠어. 내 상태가 호전될지. 이제 치료를 그만해야 될지 생각 중이야. 병원비만 쓸데없이 계속 나가는 중이고 상태는 호전되지도 않고. 치료에 미련을 버리고 남은 생 즐겁게 살아보려고 해.,sadness
우리 딸이 대학에 안 가고 연기를 하겠다고 해서 엄청나게 싸웠어. 어떻게 해야 딸 마음을 돌릴 수 있을까? 내 말을 안 들어줘서 너무 슬퍼. 딸과 싸우지 말고 다시 차분하게 얘기를 해봐야겠어.,sadness
부모님이 이혼하시고부터는 내 인생이 불행해졌어. 경제적으로도 힘들어지고 심적으로도 힘들어. 밖에 나가서 친구들하고 농구나 해야겠어.,sadness
아내가 임신 후 우울증을 심하게 앓아 집에 오면 나까지 어두워져. 둘 다 힘들어서 서로 안 좋은 말만 하게 돼. 아내와 얘기해보고 원한다면 상담이라도 받고 싶어.,depression
엄마한테 다신 안 본다고 소리치고 나왔다. 하루 종일 마음이 편하지 않아. 오늘은 들어가서 엄마한테 먼저 사과해 봐야겠어.,sadness
요즘에 옛날이야기로 허세를 부리는 사람이 너무 환멸 나. 맞아. 왕년에 내가 말이야 하면서 시작하는 말들은 이제 듣기 싫어. 옛날이야기로 허세부리지 말고 현재나 잘 살라고 잔소리를 해볼까?,sadness
학교에서 일어난 일은 내가 알아서 할 수 있는데 자꾸 가족들이 신경 써서 너무 성가셔. 그래서 집에서 만날 잔소리만 들어. 집을 나가고 싶어. 진지하게 가족들에게 말해야겠어.,anger
오늘은 몸이 정말 안 좋아서 병원 치료를 받고 싶은데 회사에서 눈치 보여서 못 움직이겠어. 병원에도 마음대로 못 가게 하는 회사가 정말 싫고 속상해. 회사에 잘 말해봐야겠어. 나로 인해 더 악화되는 상황이 나오면 안 되니까 얘기해볼래.,anger
나랑 싸웠던 친구와 서로 화해하고 걔랑 가장 친한 친구 되었어. 진심으로 사과도 받았고 나도 용서했어. 알고 보니 오해가 많았더라고. 앞으로 학교생활이 얼마나 즐거울지 너무 기대가 돼.,joy
후배들에게 밀린다는 생각을 계속하다 보니 감정이 마비된 느낌이야. 요즘 친구들은 참 적극적이고 스펙도 좋아서 금세 업무를 배우더라고. 그게 슬퍼. 친구 녀석들과 만나서 신세 한탄으로 술 한잔해야지.,sadness
김 영감에게 돈을 빌린다면 갚을 자신이 없어서 고민이야. 돈을 빌려야 하는데 빌릴 자신이 없어서 많이 불안해. 돈을 빌리고 차근차근 갚아야겠어.,anxiety
요즘 건강에 좋다는 음식 광고가 많은데 허위사실이 들어가 있는 것 같아서 먹기가 꺼려져. 이젠 모든 광고가 다 가짜 같아. 열 받아서 일부러 안 먹고 싶어지는 것 같아.,anger
돈이 많으면 행복할 줄 알았는데 막상 내가 아프니 자녀들이 돈 문제로 싸워서 눈물이 나. 돈을 많이 모으기 위해 열심히 살았던 것이 헛된 것이었나 하는 생각도 들어. 자녀들과 같이 대화하면서 인정에 호소해봐야겠어.,depression
아는 선배가 인스타그램 친구 요청을 해서 받아줬더니 자꾸 나에 대해서 잘 아는 척을 해서 짜증 나. 올린 게시글만 보고 나에 대해서 잘 안다는 듯이 말하고 다니잖아. 계정 비공개로 돌려버릴까 봐.,anger
면접 본 회사에서 오늘 최종 발표가 있었어. 결과가 절망적이야. 아쉽지만 다른 곳을 알아봐야 할 것 같아. 기다림이 이렇게나 힘든 과정인 줄 이제 알게 되는 것 같아.,sadness
친구가 장애인이라는 이유로 왕따를 당하고 있어서 너무 슬퍼. 내가 도와주고 싶은데 어떻게 해야 할지 모르겠어. 그 친구 옆을 묵묵히 지켜주고 나서서 싸워주는 게 좋을 것 같아.,sadness
우울증을 겪고 힘들어하는 친구를 볼 때마다 불안한 마음이 들어. 친구의 힘듦이 계속될까 봐 불안해. 친구 곁에서 늘 있어줄래.,depression
사고로 손가락 절단하고 택시 운전 한지 오 년째야. 세 식구 먹여 살리는 게 왜 이렇게 힘들지. 이렇게밖에 살 수 없는 현실이 너무 안타까워. 가족들에게 미안한 마음이 커. 내가 더 열심히 벌어야지. 못난 아빠로 슬프게 지낼 수만은 없어.,sadness
남편이 어제 죽고 싶다고 말했는데 혹여 그게 진심일까 봐 불안해. 뭐 때문에 그런 말을 한 건지 모르겠어. 너무 걱정돼. 이따 집에 오면 진지하게 대화를 나눠봐야겠어.,depression
연차를 써도 눈치 보지 않아도 되는 분위기라 좋아. 연차도 자유롭고 탕비실도 좋고 성과급에 상여금에. 복지가 많아. 응. 여기서 최대한 오래 일해야겠어.,joy
성공이 전부였던 나에게 가정이 생겨서 너무 기뻐. 이제 아내와 예쁜 가정을 꾸려가려고. 아내에게 결혼 전보다 더 잘해줘야지.,joy
나는 퇴직하면 시골에서 살고 싶은 꿈이 있어. 그러려면 지금부터 자금을 준비해야 해. 그런데 자금이 문제야. 정년은 얼마 남지 않았는데 그때까지 돈은 모을 수 있을까?,anxiety
합격 연락이 왔는데 사실 내가 다니고 싶은 회사는 아니어서 지금 고민이 돼. 아무래도 같은 계열은 맞지만 업무 자체가 다른 직종이라 고민이네. 내가 흥미를 갖고 잘 해낼 수 있을까?,anxiety
은퇴를 생각하니 우울해. 노래를 들으며 자전거를 타면 기분이 좀 나아져.,depression
혼자 교실에 남아서 터져 나오는 눈물을 참기 위해 노력했어. 몰라. 어느 날 갑자기 친한 친구가 나랑 안 놀아 주잖아. 친한 친구랑 만나서 무엇이 문제인지 얘기를 해봐야겠어.,sadness
집에서 집안일을 하려 해도 계속하지 않게 돼. 그래서 싸웠는데 기분이 별로 좋지 않아. 집에서 스트레스를 받고 나오니 아무것도 하고 싶지가 않아. 스트레스 해소를 위해 재미있는 게임을 해야겠어.,depression
아버지가 나한테 토지 하나를 물려주셨는데 정말 큰 도움이 될 것 같아서 아버지께 감사하다고 해야겠어. 그래서 말인데 땅을 조금 의미 있게 활용하고 싶어. 좋지 않은 곳에는 쓰지 않아야 하니까 사업이라도 하나 할까 싶어.,joy
부부 동반 모임 가자고 하는데 가기 싫어 죽겠어. 은퇴 후 뇌경색이 와서 몸이 불편해서 그래.,anger
아들한테 손자가 너무 보고 싶다고 했는데 바빠서 올 수 없다고 해서 화가 나네. 손자들이 너무 보고 싶은 마음에 서운해서 화가 났던 거 같아. 손자한테 먼저 전화해봐야겠어.,anger
내가 이 직업을 선택한 게 너무나 후회돼. 경찰관임에도 불구하고 나 스스로 사명감이 없는 것 같아. 차라리 다시 한번 일반기업 입사 준비를 해보려고 해. 늦지 않았겠지?,sadness
남자친구가 내가 준 지갑이 맘에 든다면서 계속 가지고 다녀 줘. 엄청 고민하면서 골랐는데 늘 들고 다녀 줘서 기뻐. 앞으로도 좀 더 잘 챙겨 줘야겠어.,joy
여자 친구가 나를 두고 바람 피웠다는 소문은 사실이 아니어서 안도했어. 친구가 우리 사이를 질투해서 이간질 시키려고 한 것 같아. 친구에게 다시는 그런 소문을 퍼뜨리지 말라고 확실히 말해야겠어.,joy
부모님께서 영어를 못 하셔서 불편해하시는 것을 보면 마음이 너무 아파. 간혹가다 영어로만 제품명이 적혀있는 제품은 뭔지 몰라 헤매는 모습을 보면 속상해. 부모님께 쉽게 배울 수 있는 영어책을 준비해서 주말마다 내가 조금씩 가르쳐주고 싶어.,sadness
요즘 이유 없이 눈물이 자꾸 나. 어떤 일도 다 우울하기만 하고. 새벽에 나 혼자 있는 것 같은 느낌이 들 때 죽고 싶을 만큼 우울해. 게임 커뮤니티 사람들한테 말 걸어볼까.,depression
오늘 카페에 갔다가 옛날에 좋은 감정을 가지고 있었던 오빠를 우연히 만났어. 오빠랑 이런저런 얘기를 나누다 보니 옛날 생각도 나고 좋았던 감정들이 다시 살아났어. 오래 만나온 남자친구가 있는데 오빠를 보니 마음이 흔들려.,anxiety
자식들을 너무 엄하게 키웠던 것이 손자들에게 영향을 미칠까 봐 걱정이야. 자식들이 손자들에게 엄하게 대할 때마다 모든 게 내 탓인 것 같아 속상해. 이번 명절에 이 문제에 대해 자식들과 이야기해 봐야겠어.,anxiety
